title,url,certification,genres,rating,release_date,country_origin,production_company,budget,gross_us,opening_week_rev,opening_week_date,gross_world,runtime_minutes,color,soundmix,aspect_ratio
Baby Driver,https://www.imdb.com/title/tt3890160/?ref_=watch_tpks_tt_i_30_pd_tp1_pbr_ic,R,Drama,7.5,2017-06-28,United Kingdom,TriStar Pictures,34000000,107825862,20553320,2017-07-02,226945087,113,Color,"Dolby Atmos, Dolby Digital, Dolby Surround 7.1, Auro 11.1, SDDS",2.39 : 1
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=watch_tpks_tt_i_31_pd_tp1_pbr_ic,R,Adventure,8.1,2014-03-28,United States,Fox Searchlight Pictures,25000000,59301324,811166,2014-03-09,174567384,99,"Color, Black and White","SDDS, Datasat, Dolby Digital, Dolby Surround 7.1",
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=watch_tpks_tt_i_31_pd_tp1_pbr_ic,R,Comedy,8.1,2014-03-28,United States,Fox Searchlight Pictures,25000000,59301324,811166,2014-03-09,174567384,99,"Color, Black and White","SDDS, Datasat, Dolby Digital, Dolby Surround 7.1",
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=watch_tpks_tt_i_31_pd_tp1_pbr_ic,R,Crime,8.1,2014-03-28,United States,Fox Searchlight Pictures,25000000,59301324,811166,2014-03-09,174567384,99,"Color, Black and White","SDDS, Datasat, Dolby Digital, Dolby Surround 7.1",
Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/?ref_=watch_tpks_tt_i_32_pd_tp1_pbr_ic,R,Comedy,7.7,2014-11-14,United States,New Regency Productions,18000000,42340598,424397,2014-10-19,103215094,119,Color,"Dolby Digital, Datasat",1.85 : 1
Birdman or (The Unexpected Virtue of Ignorance),https://www.imdb.com/title/tt2562232/?ref_=watch_tpks_tt_i_32_pd_tp1_pbr_ic,R,Drama,7.7,2014-11-14,United States,New Regency Productions,18000000,42340598,424397,2014-10-19,103215094,119,Color,"Dolby Digital, Datasat",1.85 : 1
A Star Is Born,https://www.imdb.com/title/tt1517451/?ref_=watch_tpks_tt_i_33_pd_tp1_pbr_ic,R,Drama,7.6,2018-10-05,United States,Warner Bros.,36000000,215333122,42908051,2018-10-07,436433122,136,Color,"Dolby Atmos, Auro 11.1, Sonics-DDP, SDDS",2.39 : 1
A Star Is Born,https://www.imdb.com/title/tt1517451/?ref_=watch_tpks_tt_i_33_pd_tp1_pbr_ic,R,Music,7.6,2018-10-05,United States,Warner Bros.,36000000,215333122,42908051,2018-10-07,436433122,136,Color,"Dolby Atmos, Auro 11.1, Sonics-DDP, SDDS",2.39 : 1
A Star Is Born,https://www.imdb.com/title/tt1517451/?ref_=watch_tpks_tt_i_33_pd_tp1_pbr_ic,R,Romance,7.6,2018-10-05,United States,Warner Bros.,36000000,215333122,42908051,2018-10-07,436433122,136,Color,"Dolby Atmos, Auro 11.1, Sonics-DDP, SDDS",2.39 : 1
The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=watch_tpks_tt_i_34_pd_tp1_pbr_ic,PG,Comedy,8.2,1998-06-05,United States,Paramount Pictures,60000000,125618201,31542121,1998-06-07,264118712,103,Color,"DTS, Dolby Digital, Dolby Atmos",1.66 : 1
The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=watch_tpks_tt_i_34_pd_tp1_pbr_ic,PG,Drama,8.2,1998-06-05,United States,Paramount Pictures,60000000,125618201,31542121,1998-06-07,264118712,103,Color,"DTS, Dolby Digital, Dolby Atmos",1.66 : 1
Mamma Mia!,https://www.imdb.com/title/tt0795421/?ref_=watch_tpks_tt_i_35_pd_tp1_pbr_ic,PG-13,Comedy,6.5,2008-07-18,United States,Universal Pictures,52000000,144330569,27751240,2008-07-20,694665577,108,Color,"SDDS, Dolby Digital, DTS",2.39 : 1
Mamma Mia!,https://www.imdb.com/title/tt0795421/?ref_=watch_tpks_tt_i_35_pd_tp1_pbr_ic,PG-13,Musical,6.5,2008-07-18,United States,Universal Pictures,52000000,144330569,27751240,2008-07-20,694665577,108,Color,"SDDS, Dolby Digital, DTS",2.39 : 1
Mamma Mia!,https://www.imdb.com/title/tt0795421/?ref_=watch_tpks_tt_i_35_pd_tp1_pbr_ic,PG-13,Romance,6.5,2008-07-18,United States,Universal Pictures,52000000,144330569,27751240,2008-07-20,694665577,108,Color,"SDDS, Dolby Digital, DTS",2.39 : 1
Mean Girls,https://www.imdb.com/title/tt0377092/?ref_=watch_tpks_tt_i_36_pd_tp1_pbr_ic,PG-13,Comedy,7.1,2004-04-30,United States,Paramount Pictures,17000000,86058055,24432195,2004-05-02,130161094,97,Color,"Dolby Digital, DTS",1.85 : 1
The Revenant,https://www.imdb.com/title/tt1663202/?ref_=watch_tpks_tt_i_37_pd_tp1_pbr_ic,R,Action,8.0,2016-01-08,Hong Kong,New Regency Productions,135000000,183637894,474560,2015-12-27,532950503,156,Color,"Dolby Digital, Dolby Atmos, Dolby Surround 7.1, 12-Track Digital Sound, IMAX 6-Track, Sonics-DDP, SDDS",2.39 : 1
The Revenant,https://www.imdb.com/title/tt1663202/?ref_=watch_tpks_tt_i_37_pd_tp1_pbr_ic,R,Adventure,8.0,2016-01-08,Hong Kong,New Regency Productions,135000000,183637894,474560,2015-12-27,532950503,156,Color,"Dolby Digital, Dolby Atmos, Dolby Surround 7.1, 12-Track Digital Sound, IMAX 6-Track, Sonics-DDP, SDDS",2.39 : 1
The Revenant,https://www.imdb.com/title/tt1663202/?ref_=watch_tpks_tt_i_37_pd_tp1_pbr_ic,R,Drama,8.0,2016-01-08,Hong Kong,New Regency Productions,135000000,183637894,474560,2015-12-27,532950503,156,Color,"Dolby Digital, Dolby Atmos, Dolby Surround 7.1, 12-Track Digital Sound, IMAX 6-Track, Sonics-DDP, SDDS",2.39 : 1
The Devil Wears Prada,https://www.imdb.com/title/tt0458352/?ref_=watch_tpks_tt_i_38_pd_tp1_pbr_ic,PG-13,Comedy,6.9,2006-06-30,United States,Fox 2000 Pictures,35000000,124740460,27537244,2006-07-02,326714019,109,Color,"SDDS, DTS, Dolby Digital",2.39 : 1
The Devil Wears Prada,https://www.imdb.com/title/tt0458352/?ref_=watch_tpks_tt_i_38_pd_tp1_pbr_ic,PG-13,Drama,6.9,2006-06-30,United States,Fox 2000 Pictures,35000000,124740460,27537244,2006-07-02,326714019,109,Color,"SDDS, DTS, Dolby Digital",2.39 : 1
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=watch_tpks_tt_i_39_pd_tp1_pbr_ic,R,Drama,8.2,2010-02-19,United States,Paramount Pictures,80000000,128012934,41062440,2010-02-21,294933742,138,Color,"SDDS, Dolby Digital, DTS",2.39 : 1
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=watch_tpks_tt_i_39_pd_tp1_pbr_ic,R,Mystery,8.2,2010-02-19,United States,Paramount Pictures,80000000,128012934,41062440,2010-02-21,294933742,138,Color,"SDDS, Dolby Digital, DTS",2.39 : 1
Shutter Island,https://www.imdb.com/title/tt1130884/?ref_=watch_tpks_tt_i_39_pd_tp1_pbr_ic,R,Thriller,8.2,2010-02-19,United States,Paramount Pictures,80000000,128012934,41062440,2010-02-21,294933742,138,Color,"SDDS, Dolby Digital, DTS",2.39 : 1
Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=watch_tpks_tt_i_40_pd_tp1_pbr_ic,PG-13,Action,7.8,2017-07-21,United Kingdom,Syncopy,100000000,189740665,50513488,2017-07-23,530432122,106,Color,"Sonics-DDP, Dolby Digital",2.20 : 1
Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=watch_tpks_tt_i_40_pd_tp1_pbr_ic,PG-13,Drama,7.8,2017-07-21,United Kingdom,Syncopy,100000000,189740665,50513488,2017-07-23,530432122,106,Color,"Sonics-DDP, Dolby Digital",2.20 : 1
Dunkirk,https://www.imdb.com/title/tt5013056/?ref_=watch_tpks_tt_i_40_pd_tp1_pbr_ic,PG-13,History,7.8,2017-07-21,United Kingdom,Syncopy,100000000,189740665,50513488,2017-07-23,530432122,106,Color,"Sonics-DDP, Dolby Digital",2.20 : 1
Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=watch_tpks_tt_i_41_pd_tp1_pbr_ic,PG-13,Biography,8.1,2002-12-25,United States,Dreamworks Pictures,52000000,164615351,30053627,2002-12-29,352114312,141,Color,"DTS, Dolby Digital, SDDS",1.85 : 1
Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=watch_tpks_tt_i_41_pd_tp1_pbr_ic,PG-13,Crime,8.1,2002-12-25,United States,Dreamworks Pictures,52000000,164615351,30053627,2002-12-29,352114312,141,Color,"DTS, Dolby Digital, SDDS",1.85 : 1
Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=watch_tpks_tt_i_41_pd_tp1_pbr_ic,PG-13,Drama,8.1,2002-12-25,United States,Dreamworks Pictures,52000000,164615351,30053627,2002-12-29,352114312,141,Color,"DTS, Dolby Digital, SDDS",1.85 : 1
