title,url,certification,genres,rating,release_date,country_origin,production_company,budget,gross_us,opening_week_rev,opening_week_date,gross_world,runtime_minutes,color,soundmix,aspect_ratio
"Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/?ref_=watch_tpks_tt_i_11_pd_tp1_pbr_ic,PG-13,Comedy,7.4,2011-07-29,United States,Carousel Productions (II),50000000,84379584,19104303,2011-07-31,145086643,118,Color,"Dolby Digital, Datasat, SDDS",2.39 : 1
"Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/?ref_=watch_tpks_tt_i_11_pd_tp1_pbr_ic,PG-13,Drama,7.4,2011-07-29,United States,Carousel Productions (II),50000000,84379584,19104303,2011-07-31,145086643,118,Color,"Dolby Digital, Datasat, SDDS",2.39 : 1
"Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/?ref_=watch_tpks_tt_i_11_pd_tp1_pbr_ic,PG-13,Romance,7.4,2011-07-29,United States,Carousel Productions (II),50000000,84379584,19104303,2011-07-31,145086643,118,Color,"Dolby Digital, Datasat, SDDS",2.39 : 1
The Great Gatsby,https://www.imdb.com/title/tt1343092/?ref_=watch_tpks_tt_i_12_pd_tp1_pbr_ic,PG-13,Drama,7.2,2013-05-10,Australia,Warner Bros.,105000000,144857996,50085185,2013-05-12,353660028,143,Color,"SDDS, Datasat, Dolby Digital",2.39 : 1
The Great Gatsby,https://www.imdb.com/title/tt1343092/?ref_=watch_tpks_tt_i_12_pd_tp1_pbr_ic,PG-13,Romance,7.2,2013-05-10,Australia,Warner Bros.,105000000,144857996,50085185,2013-05-12,353660028,143,Color,"SDDS, Datasat, Dolby Digital",2.39 : 1
Black Swan,https://www.imdb.com/title/tt0947798/?ref_=watch_tpks_tt_i_13_pd_tp1_pbr_ic,R,Drama,8.0,2010-12-17,United States,Searchlight Pictures,13000000,106954678,1443809,2010-12-05,329398046,108,Color,"Dolby, DTS, SDDS",2.35 : 1
Black Swan,https://www.imdb.com/title/tt0947798/?ref_=watch_tpks_tt_i_13_pd_tp1_pbr_ic,R,Thriller,8.0,2010-12-17,United States,Searchlight Pictures,13000000,106954678,1443809,2010-12-05,329398046,108,Color,"Dolby, DTS, SDDS",2.35 : 1
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=watch_tpks_tt_i_14_pd_tp1_pbr_ic,R,Drama,8.3,2004-03-19,United States,Focus Features,20000000,34400301,8175198,2004-03-21,73392396,108,Color,"DTS, Dolby, SDDS",1.85 : 1
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=watch_tpks_tt_i_14_pd_tp1_pbr_ic,R,Romance,8.3,2004-03-19,United States,Focus Features,20000000,34400301,8175198,2004-03-21,73392396,108,Color,"DTS, Dolby, SDDS",1.85 : 1
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=watch_tpks_tt_i_14_pd_tp1_pbr_ic,R,Sci-Fi,8.3,2004-03-19,United States,Focus Features,20000000,34400301,8175198,2004-03-21,73392396,108,Color,"DTS, Dolby, SDDS",1.85 : 1
Little Women,https://www.imdb.com/title/tt3281548/?ref_=watch_tpks_tt_i_15_pd_tp1_pbr_ic,PG,Drama,7.8,2019-12-25,United States,Columbia Pictures,40000000,108101214,16755310,2019-12-29,218843645,135,Color,"Dolby Atmos, Dolby Digital",1.85 : 1
Little Women,https://www.imdb.com/title/tt3281548/?ref_=watch_tpks_tt_i_15_pd_tp1_pbr_ic,PG,Romance,7.8,2019-12-25,United States,Columbia Pictures,40000000,108101214,16755310,2019-12-29,218843645,135,Color,"Dolby Atmos, Dolby Digital",1.85 : 1
The Theory of Everything,https://www.imdb.com/title/tt2980516/?ref_=watch_tpks_tt_i_16_pd_tp1_pbr_ic,PG-13,Biography,7.7,2014-11-26,United Kingdom,Working Title Films,15000000,35893537,208763,2014-11-09,123726688,123,Color,Dolby Digital,2.40 : 1
The Theory of Everything,https://www.imdb.com/title/tt2980516/?ref_=watch_tpks_tt_i_16_pd_tp1_pbr_ic,PG-13,Drama,7.7,2014-11-26,United Kingdom,Working Title Films,15000000,35893537,208763,2014-11-09,123726688,123,Color,Dolby Digital,2.40 : 1
The Theory of Everything,https://www.imdb.com/title/tt2980516/?ref_=watch_tpks_tt_i_16_pd_tp1_pbr_ic,PG-13,Romance,7.7,2014-11-26,United Kingdom,Working Title Films,15000000,35893537,208763,2014-11-09,123726688,123,Color,Dolby Digital,2.40 : 1
Lady Bird,https://www.imdb.com/title/tt4925292/?ref_=watch_tpks_tt_i_17_pd_tp1_pbr_ic,R,Comedy,7.4,2017-12-01,United States,IAC Films,10000000,48958273,364437,2017-11-05,78987280,94,Color,Dolby Digital,1.85 : 1
Lady Bird,https://www.imdb.com/title/tt4925292/?ref_=watch_tpks_tt_i_17_pd_tp1_pbr_ic,R,Drama,7.4,2017-12-01,United States,IAC Films,10000000,48958273,364437,2017-11-05,78987280,94,Color,Dolby Digital,1.85 : 1
Parasite,https://www.imdb.com/title/tt6751668/?ref_=watch_tpks_tt_i_18_pd_tp1_pbr_ic,R,Drama,8.5,2019-11-08,South Korea,CJ Entertainment,11400000,53369749,393216,2019-10-13,262099264,132,Color,Dolby Atmos,2.39 : 1
Parasite,https://www.imdb.com/title/tt6751668/?ref_=watch_tpks_tt_i_18_pd_tp1_pbr_ic,R,Thriller,8.5,2019-11-08,South Korea,CJ Entertainment,11400000,53369749,393216,2019-10-13,262099264,132,Color,Dolby Atmos,2.39 : 1
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=watch_tpks_tt_i_19_pd_tp1_pbr_ic,PG-13,Biography,7.9,2018-11-02,United Kingdom,Twentieth Century Fox,52000000,216668042,51061119,2018-11-04,910813521,134,Color,"Dolby Atmos, Sonics-DDP, SDDS, Auro 11.1",2.39 : 1
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=watch_tpks_tt_i_19_pd_tp1_pbr_ic,PG-13,Drama,7.9,2018-11-02,United Kingdom,Twentieth Century Fox,52000000,216668042,51061119,2018-11-04,910813521,134,Color,"Dolby Atmos, Sonics-DDP, SDDS, Auro 11.1",2.39 : 1
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/?ref_=watch_tpks_tt_i_19_pd_tp1_pbr_ic,PG-13,Music,7.9,2018-11-02,United Kingdom,Twentieth Century Fox,52000000,216668042,51061119,2018-11-04,910813521,134,Color,"Dolby Atmos, Sonics-DDP, SDDS, Auro 11.1",2.39 : 1
Joker,https://www.imdb.com/title/tt7286456/?ref_=watch_tpks_tt_i_20_pd_tp1_pbr_ic,R,Crime,8.4,2019-10-04,United States,Warner Bros.,55000000,335477657,96202337,2019-10-06,1078958629,122,Color,"SDDS, Dolby Atmos, Datasat, Dolby Digital",1.85 : 1
Joker,https://www.imdb.com/title/tt7286456/?ref_=watch_tpks_tt_i_20_pd_tp1_pbr_ic,R,Drama,8.4,2019-10-04,United States,Warner Bros.,55000000,335477657,96202337,2019-10-06,1078958629,122,Color,"SDDS, Dolby Atmos, Datasat, Dolby Digital",1.85 : 1
Joker,https://www.imdb.com/title/tt7286456/?ref_=watch_tpks_tt_i_20_pd_tp1_pbr_ic,R,Thriller,8.4,2019-10-04,United States,Warner Bros.,55000000,335477657,96202337,2019-10-06,1078958629,122,Color,"SDDS, Dolby Atmos, Datasat, Dolby Digital",1.85 : 1
10 Things I Hate About You,https://www.imdb.com/title/tt0147800/?ref_=watch_tpks_tt_i_21_pd_tp1_pbr_ic,PG-13,Comedy,7.3,1999-03-31,United States,Touchstone Pictures,30000000,38178166,8330681,1999-04-04,53685765,97,Color,"Dolby Digital, SDDS, DTS",1.85 : 1
10 Things I Hate About You,https://www.imdb.com/title/tt0147800/?ref_=watch_tpks_tt_i_21_pd_tp1_pbr_ic,PG-13,Drama,7.3,1999-03-31,United States,Touchstone Pictures,30000000,38178166,8330681,1999-04-04,53685765,97,Color,"Dolby Digital, SDDS, DTS",1.85 : 1
